date,CO
8/24/2025,0.031833351
8/25/2025,0.026104959
8/26/2025,
8/27/2025,0.030417046
8/28/2025,0.025136821
8/29/2025,0.024943013
8/30/2025,
8/31/2025,
9/1/2025,0.023668559
9/2/2025,0.02452462
9/3/2025,0.020175122
9/4/2025,0.026039043
9/5/2025,
9/6/2025,
9/7/2025,0.028417131
9/8/2025,
9/9/2025,0.031194089
9/10/2025,
9/11/2025,
9/12/2025,
9/13/2025,0.033568054
9/14/2025,0.025359573
9/15/2025,0.030606799
9/16/2025,
9/17/2025,
9/18/2025,
9/19/2025,
9/20/2025,0.031940896
9/21/2025,0.031621508
9/22/2025,
9/23/2025,0.035460658
9/24/2025,0.041723184
9/25/2025,0.028401759
9/26/2025,0.029484803
9/27/2025,0.036658812
9/28/2025,0.029636312
9/29/2025,
9/30/2025,
10/1/2025,
10/2/2025,0.02697565
10/3/2025,0.029117934
10/4/2025,0.032833934
10/5/2025,0.02902139
10/6/2025,
10/7/2025,
10/8/2025,0.036530666
10/9/2025,0.035911005
10/10/2025,0.032898251
10/11/2025,0.040404286
10/12/2025,0.022135824
10/13/2025,
10/14/2025,0.030582244
10/15/2025,
10/16/2025,0.029091479
10/17/2025,0.029422684
10/18/2025,
10/19/2025,0.031026768
10/20/2025,
10/21/2025,
10/22/2025,
10/23/2025,
10/24/2025,
10/25/2025,
10/26/2025,
10/27/2025,
10/28/2025,
10/29/2025,
10/30/2025,
10/31/2025,
11/1/2025,
11/2/2025,
11/3/2025,
11/4/2025,
11/5/2025,
11/6/2025,0.029468397
11/7/2025,0.032005548
11/8/2025,
11/9/2025,
11/10/2025,
11/11/2025,
11/12/2025,
11/13/2025,
11/14/2025,
11/15/2025,
11/16/2025,
11/17/2025,
11/18/2025,
11/19/2025,
11/20/2025,
11/21/2025,0.027581621
11/22/2025,
11/23/2025,0.029350877
11/24/2025,
11/25/2025,0.027124947
11/26/2025,
11/27/2025,
11/28/2025,
11/29/2025,
11/30/2025,
12/1/2025,
12/2/2025,
12/3/2025,
12/4/2025,
12/5/2025,
12/6/2025,
12/7/2025,
12/8/2025,
12/9/2025,
12/10/2025,0.034291223
12/11/2025,0.029489623
12/12/2025,
12/13/2025,
12/14/2025,
12/15/2025,
12/16/2025,
12/17/2025,0.027429059
12/18/2025,
12/19/2025,
12/20/2025,
12/21/2025,0.023241192
12/22/2025,0.024365291
12/23/2025,0.031266481
12/24/2025,0.027617333
12/25/2025,0.027466552
12/26/2025,
12/27/2025,
12/28/2025,
12/29/2025,
12/30/2025,
12/31/2025,
1/1/2026,
1/2/2026,
1/3/2026,0.029282331
1/4/2026,
1/5/2026,
1/6/2026,
1/7/2026,
1/8/2026,
1/9/2026,
1/10/2026,
1/11/2026,
1/12/2026,
1/13/2026,
1/14/2026,0.021792999
1/15/2026,
1/16/2026,
1/17/2026,
1/18/2026,
1/19/2026,0.029020516
1/20/2026,
1/21/2026,0.021309702
1/22/2026,
1/23/2026,
1/24/2026,0.029127914
1/25/2026,0.02657306
1/26/2026,
1/27/2026,
1/28/2026,
1/29/2026,
1/30/2026,0.029286878
1/31/2026,
2/1/2026,
2/2/2026,0.033215534
2/3/2026,0.031183936
2/4/2026,0.030783821
2/5/2026,
2/6/2026,0.034480192
2/7/2026,
2/8/2026,
2/9/2026,
2/10/2026,0.025642766
2/11/2026,
2/12/2026,
2/13/2026,
2/14/2026,
2/15/2026,0.032555949
2/16/2026,
2/17/2026,
2/18/2026,
2/19/2026,
2/20/2026,
2/21/2026,
2/22/2026,
2/23/2026,
2/24/2026,
2/25/2026,
2/26/2026,
2/27/2026,
2/28/2026,0.032926708
3/1/2026,
3/2/2026,
3/3/2026,0.029212005
3/4/2026,0.024952967
3/5/2026,0.027637782
3/6/2026,
3/7/2026,0.027865227
3/8/2026,0.032007139
3/9/2026,
3/10/2026,0.026846366
3/11/2026,
3/12/2026,0.02372401
3/13/2026,0.023376711
3/14/2026,0.027556758
3/15/2026,0.027887518
3/16/2026,0.026574954
3/17/2026,
3/18/2026,0.027354587
3/19/2026,
3/20/2026,
3/21/2026,
3/22/2026,
3/23/2026,
3/24/2026,
3/25/2026,0.02943969
3/26/2026,0.026181994
3/27/2026,0.027314749
3/28/2026,
3/29/2026,0.032154154
3/30/2026,
3/31/2026,
4/1/2026,0.032147419
4/2/2026,
4/3/2026,0.025041746
4/4/2026,
4/5/2026,
4/6/2026,
4/7/2026,
4/8/2026,0.027748125
4/9/2026,
4/10/2026,
4/11/2026,
4/12/2026,
4/13/2026,0.022294208
4/14/2026,0.025413629
4/15/2026,0.02336028
4/16/2026,0.026281649
4/17/2026,0.029097876
4/18/2026,0.030845482
4/19/2026,0.030186893
4/20/2026,0.028776448
4/21/2026,
4/22/2026,
4/23/2026,
4/24/2026,
4/25/2026,0.029483791
4/26/2026,0.032472953
4/27/2026,
4/28/2026,
4/29/2026,
4/30/2026,
5/1/2026,0.025401006
5/2/2026,
5/3/2026,0.027647618
5/4/2026,
5/5/2026,0.023884982
5/6/2026,0.025749229
5/7/2026,0.020392697
5/8/2026,0.034342475
5/9/2026,0.030194173
5/10/2026,0.029547473
5/11/2026,0.029512215
5/12/2026,
5/13/2026,
5/14/2026,0.026182706
5/15/2026,0.023608625
5/16/2026,
5/17/2026,0.021750804
5/18/2026,0.024827363
5/19/2026,0.030935587
5/20/2026,
5/21/2026,
5/22/2026,
5/23/2026,0.030038299
5/24/2026,0.027328618
5/25/2026,
5/26/2026,0.030271761
5/27/2026,0.029239269
5/28/2026,
5/29/2026,0.037304386
5/30/2026,0.02768155
5/31/2026,0.024474619
6/1/2026,0.026050769
6/2/2026,0.022752149
6/3/2026,0.03062983
6/4/2026,0.026529115
6/5/2026,
6/6/2026,0.022598343
6/7/2026,0.026122261
6/8/2026,0.032237567
6/9/2026,0.02987203
6/10/2026,
6/11/2026,0.028598117
6/12/2026,
6/13/2026,0.030676208
6/14/2026,0.025545897
6/15/2026,0.029067786
6/16/2026,0.024989394
6/17/2026,0.026668098
6/18/2026,0.024860846
6/19/2026,0.028181111
6/20/2026,
6/21/2026,0.026065433
6/22/2026,0.024005847
6/23/2026,0.022472868
6/24/2026,0.027502295
6/25/2026,0.026810722
6/26/2026,
6/27/2026,0.026243383
6/28/2026,0.028533481
6/29/2026,0.02763238
6/30/2026,0.024181508
7/1/2026,0.031868313
7/2/2026,0.026410313
7/3/2026,0.028570576
7/4/2026,0.019397918
7/5/2026,0.027191542
7/6/2026,0.03231876
7/7/2026,0.029858451
7/8/2026,0.026706604
7/9/2026,0.023840033
7/10/2026,
7/11/2026,
7/12/2026,
7/13/2026,0.030256895
7/14/2026,0.030460628
7/15/2026,0.026845425
7/16/2026,0.028910637
7/17/2026,0.02667552
7/18/2026,0.027317876
7/19/2026,0.029996235
7/20/2026,0.025154006
7/21/2026,0.028280163
7/22/2026,0.033752568
7/23/2026,
7/24/2026,0.031079831
7/25/2026,0.023767859
7/26/2026,0.028797533
7/27/2026,
7/28/2026,0.031915005
7/29/2026,0.031388614
7/30/2026,
7/31/2026,
8/1/2026,0.03235627
8/2/2026,0.030628631
8/3/2026,0.025566326
8/4/2026,0.031302541
8/5/2026,0.022495016
8/6/2026,0.031650655
8/7/2026,0.03067724
8/8/2026,
8/9/2026,0.027017593
8/10/2026,0.033767767
8/11/2026,0.028611129
8/12/2026,0.033733793
8/13/2026,0.029685576
8/14/2026,0.034217093
8/15/2026,0.031101545
8/16/2026,0.030773362
8/17/2026,0.030717552
8/18/2026,0.032353085
8/19/2026,0.024064349
8/20/2026,0.025802372
8/21/2026,0.023978114
8/22/2026,0.03300792
8/23/2026,0.035088204
8/24/2026,
